Date, Close/Last
1/13/2020,$48.75 
1/10/2020,$48.17 
1/9/2020,$48.97 
1/8/2020,$47.83 
1/7/2020,$48.25 
1/6/2020,$48.39 
1/3/2020,$48.60 
1/2/2020,$49.10 
12/31/2019,$45.86 
12/30/2019,$45.52 
12/27/2019,$46.18 
12/26/2019,$46.63 
12/24/2019,$46.54 
12/23/2019,$45.46 
12/20/2019,$44.15 
12/19/2019,$42.83 
12/18/2019,$42.30 
12/17/2019,$42.77 
12/16/2019,$42.35 
12/13/2019,$41.15 
12/12/2019,$42.59 
12/11/2019,$39.47 
12/10/2019,$39.44 
12/9/2019,$38.93 
12/6/2019,$39.63 
12/5/2019,$39.62 
12/4/2019,$39.69 
12/3/2019,$38.90 
12/2/2019,$38.73 
11/29/2019,$39.15 
11/27/2019,$39.41 
11/26/2019,$38.99 
11/25/2019,$39.79 
11/22/2019,$39.15 
11/21/2019,$39.52 
11/20/2019,$40.98 
11/19/2019,$41.29 
11/18/2019,$39.88 
11/15/2019,$38.56 
11/14/2019,$38.35 
11/13/2019,$37.52 
11/12/2019,$36.71 
11/11/2019,$36.31 
11/8/2019,$36.29 
11/7/2019,$36.28 
11/6/2019,$35.93 
11/5/2019,$36.15 
11/4/2019,$36.29 
11/1/2019,$34.89 
10/31/2019,$33.93 
10/30/2019,$33.13 
10/29/2019,$33.03 
10/28/2019,$33.69 
10/25/2019,$32.71 
10/24/2019,$31.72 
10/23/2019,$31.36 
10/22/2019,$31.51 
10/21/2019,$32.03 
10/18/2019,$30.97 
10/17/2019,$31.14 
10/16/2019,$30.81 
10/15/2019,$30.72 
10/14/2019,$30.53 
10/11/2019,$29.75 
10/10/2019,$28.38 
10/9/2019,$28.46 
10/8/2019,$28.23 
10/7/2019,$28.93 
10/4/2019,$29.01 
10/3/2019,$28.68 
10/2/2019,$28.31 
10/1/2019,$28.76 
9/30/2019,$28.99 
9/27/2019,$28.72 
9/26/2019,$29.47 
9/25/2019,$29.54 
9/24/2019,$29.52 
9/23/2019,$30.64 
9/20/2019,$30.05 
9/19/2019,$30.29 
9/18/2019,$30.42 
9/17/2019,$30.99 
9/16/2019,$30.83 
9/13/2019,$30.69 
9/12/2019,$30.21 
9/11/2019,$29.76 
9/10/2019,$30.23 
9/9/2019,$30.50 
9/6/2019,$30.56 
9/5/2019,$31.50 
9/4/2019,$30.95 
9/3/2019,$30.90 
8/30/2019,$31.45 
8/29/2019,$31.45 
8/28/2019,$30.78 
8/27/2019,$30.20 
8/26/2019,$30.28 
8/23/2019,$29.54 
8/22/2019,$31.90 
8/21/2019,$31.70 
8/20/2019,$30.72 
8/19/2019,$31.48 
8/16/2019,$31.18 
8/15/2019,$29.67 
8/14/2019,$30.24 
8/13/2019,$32.11 
8/12/2019,$32.43 
8/9/2019,$34.19 
8/8/2019,$33.92 
8/7/2019,$29.19 
8/6/2019,$28.86 
8/5/2019,$27.99 
8/2/2019,$29.44 
8/1/2019,$29.86 
7/31/2019,$30.45 
7/30/2019,$33.87 
7/29/2019,$33.48 
7/26/2019,$34.02 
7/25/2019,$33.67 
7/24/2019,$34.11 
7/23/2019,$33.49 
7/22/2019,$32.85 
7/19/2019,$32.51 
7/18/2019,$33 
7/17/2019,$33.60 
7/16/2019,$33.85 
7/15/2019,$34.39 
7/12/2019,$33.21 
7/11/2019,$33.06 
7/10/2019,$33.79 
7/9/2019,$33.15 
7/8/2019,$32.04 
7/5/2019,$31.50 
7/3/2019,$31.19 
7/2/2019,$31.24 
7/1/2019,$31.20 
6/28/2019,$30.37 
6/27/2019,$30.74 
6/26/2019,$29.92 
6/25/2019,$28.86 
6/24/2019,$29.26 
6/21/2019,$29.10 
6/20/2019,$30.01 
6/19/2019,$30.50 
6/18/2019,$30.45 
6/17/2019,$29.20 
6/14/2019,$30.36 
6/13/2019,$31.39 
6/12/2019,$32.18 
6/11/2019,$32.41 
6/10/2019,$33.23 
6/7/2019,$32.41 
6/6/2019,$31.82 
6/5/2019,$29.50 
6/4/2019,$29.57 
6/3/2019,$27.58 
5/31/2019,$27.41 
5/30/2019,$28.03 
5/29/2019,$28.09 
5/28/2019,$29.03 
5/24/2019,$26.44 
5/23/2019,$26.36 
5/22/2019,$27.41 
5/21/2019,$27.35 
5/20/2019,$26.68 
5/17/2019,$27.50 
5/16/2019,$28.01 
5/15/2019,$27.58 
5/14/2019,$27.32 
5/13/2019,$26.24 
5/10/2019,$27.96 
5/9/2019,$27.21 
5/8/2019,$27.09 
5/7/2019,$26.66 
5/6/2019,$27.42 
5/3/2019,$28.22 
5/2/2019,$28.29 
5/1/2019,$26.81 
