Date, Close/Last
1/13/2020,$59.59 
1/10/2020,$58.94 
1/9/2020,$59.30 
1/8/2020,$58.97 
1/7/2020,$58.93 
1/6/2020,$59.93 
1/3/2020,$60.10 
1/2/2020,$60.84 
12/31/2019,$59.85 
12/30/2019,$59.62 
12/27/2019,$60.08 
12/26/2019,$59.82 
12/24/2019,$59.41 
12/23/2019,$59.23 
12/20/2019,$58.95 
12/19/2019,$57.96 
12/18/2019,$57.17 
12/17/2019,$57.30 
12/16/2019,$57.70 
12/13/2019,$57.79 
12/12/2019,$57.55 
12/11/2019,$57.07 
12/10/2019,$56.59 
12/9/2019,$56.53 
12/6/2019,$56.81 
12/5/2019,$56.08 
12/4/2019,$56.02 
12/3/2019,$56.07 
12/2/2019,$57.66 
11/29/2019,$58.05 
11/27/2019,$58.51 
11/26/2019,$58.90 
11/25/2019,$58.81 
11/22/2019,$57.61 
11/21/2019,$58.22 
11/20/2019,$57.90 
11/19/2019,$58.35 
11/18/2019,$58.25 
11/15/2019,$57.96 
11/14/2019,$57.81 
11/13/2019,$57.89 
11/12/2019,$58.20 
11/11/2019,$58.35 
11/8/2019,$58.27 
11/7/2019,$58.05 
11/6/2019,$57.60 
11/5/2019,$57.55 
11/4/2019,$57.61 
11/1/2019,$56.51 
10/31/2019,$56.53 
10/30/2019,$56.60 
10/29/2019,$56.34 
10/28/2019,$56.76 
10/25/2019,$56.46 
10/24/2019,$52.23 
10/23/2019,$51.72 
10/22/2019,$52.01 
10/21/2019,$52.13 
10/18/2019,$51.36 
10/17/2019,$51.86 
10/16/2019,$52.45 
10/15/2019,$52.65 
10/14/2019,$51.64 
10/11/2019,$52.09 
10/10/2019,$51.11 
10/9/2019,$50.48 
10/8/2019,$49.73 
10/7/2019,$50.62 
10/4/2019,$50.92 
10/3/2019,$50.03 
10/2/2019,$49.39 
10/1/2019,$50.76 
9/30/2019,$51.53 
9/27/2019,$50.78 
9/26/2019,$50.92 
9/25/2019,$51.02 
9/24/2019,$49.82 
9/23/2019,$50.90 
9/20/2019,$50.72 
9/19/2019,$51.57 
9/18/2019,$51.74 
9/17/2019,$51.95 
9/16/2019,$52.20 
9/13/2019,$52.54 
9/12/2019,$53.01 
9/11/2019,$52.79 
9/10/2019,$51.82 
9/9/2019,$51.59 
9/6/2019,$50.92 
9/5/2019,$50.10 
9/4/2019,$48.92 
9/3/2019,$46.98 
8/30/2019,$47.41 
8/29/2019,$46.87 
8/28/2019,$45.79 
8/27/2019,$45.79 
8/26/2019,$45.56 
8/23/2019,$44.96 
8/22/2019,$46.78 
8/21/2019,$47.15 
8/20/2019,$46.60 
8/19/2019,$47.23 
8/16/2019,$46.50 
8/15/2019,$45.70 
8/14/2019,$45.87 
8/13/2019,$46.84 
8/12/2019,$45.60 
8/9/2019,$45.98 
8/8/2019,$47.17 
8/7/2019,$46.73 
8/6/2019,$46.96 
8/5/2019,$46.97 
8/2/2019,$48.68 
8/1/2019,$49.50 
7/31/2019,$50.55 
7/30/2019,$51.70 
7/29/2019,$52.51 
7/26/2019,$51.59 
7/25/2019,$52.16 
7/24/2019,$52.92 
7/23/2019,$51.75 
7/22/2019,$51.35 
7/19/2019,$50.27 
7/18/2019,$49.94 
7/17/2019,$49.39 
7/16/2019,$49.17 
7/15/2019,$50.12 
7/12/2019,$49.92 
7/11/2019,$48.60 
7/10/2019,$48.21 
7/9/2019,$47.75 
7/8/2019,$47.82 
7/5/2019,$48.08 
7/3/2019,$48.52 
7/2/2019,$48.12 
7/1/2019,$48.05 
6/28/2019,$47.87 
6/27/2019,$47.46 
6/26/2019,$48.19 
6/25/2019,$46.85 
6/24/2019,$47.63 
6/21/2019,$47.46 
6/20/2019,$47.19 
6/19/2019,$47.07 
6/18/2019,$47.37 
6/17/2019,$46.13 
6/14/2019,$46.19 
6/13/2019,$46.70 
6/12/2019,$46.32 
6/11/2019,$46.85 
6/10/2019,$46.80 
6/7/2019,$46.03 
6/6/2019,$45.10 
6/5/2019,$44.55 
6/4/2019,$44.79 
6/3/2019,$43.46 
5/31/2019,$44.04 
5/30/2019,$44.73 
5/29/2019,$44.23 
5/28/2019,$43.57 
5/24/2019,$44.57 
5/23/2019,$44.53 
5/22/2019,$44 
5/21/2019,$44.46 
5/20/2019,$43.56 
5/17/2019,$44.89 
5/16/2019,$45.53 
5/15/2019,$45.62 
5/14/2019,$45.17 
5/13/2019,$44.76 
5/10/2019,$46.20 
5/9/2019,$46.62 
5/8/2019,$49.24 
5/7/2019,$50.48 
5/6/2019,$51.22 
5/3/2019,$51.75 
5/2/2019,$50.55 
5/1/2019,$50.76 
4/30/2019,$51.04 
4/29/2019,$51.11 
4/26/2019,$52.43 
4/25/2019,$57.61 
4/24/2019,$58.72 
4/23/2019,$58.78 
4/22/2019,$58.82 
4/18/2019,$58.49 
4/17/2019,$58.56 
4/16/2019,$56.71 
4/15/2019,$56.28 
4/12/2019,$56.42 
4/11/2019,$55.80 
4/10/2019,$55.75 
4/9/2019,$55.32 
4/8/2019,$55.68 
4/5/2019,$55.60 
4/4/2019,$55.92 
4/3/2019,$55.48 
4/2/2019,$54.36 
4/1/2019,$54.51 
3/29/2019,$53.70 
3/28/2019,$53.11 
3/27/2019,$53.16 
3/26/2019,$53.44 
3/25/2019,$52.78 
3/22/2019,$53.26 
3/21/2019,$54.64 
3/20/2019,$53.82 
3/19/2019,$54.17 
3/18/2019,$54.10 
3/15/2019,$54.33 
3/14/2019,$53.44 
3/13/2019,$54.37 
3/12/2019,$53.57 
3/11/2019,$53.35 
3/8/2019,$52.48 
3/7/2019,$52.60 
3/6/2019,$52.95 
3/5/2019,$53.68 
3/4/2019,$53.94 
3/1/2019,$53.30 
2/28/2019,$52.96 
2/27/2019,$53.24 
2/26/2019,$53.23 
2/25/2019,$53.10 
2/22/2019,$52.49 
2/21/2019,$51.41 
2/20/2019,$51.39 
2/19/2019,$51.40 
2/15/2019,$51.66 
2/14/2019,$50.81 
2/13/2019,$50.47 
2/12/2019,$50.01 
2/11/2019,$48.77 
2/8/2019,$48.84 
2/7/2019,$49.23 
2/6/2019,$49.90 
2/5/2019,$50.01 
2/4/2019,$49.22 
2/1/2019,$48.73 
1/31/2019,$47.12 
1/30/2019,$47.54 
1/29/2019,$46.54 
1/28/2019,$46.71 
1/25/2019,$47.04 
1/24/2019,$49.76 
1/23/2019,$47.94 
1/22/2019,$48.27 
1/18/2019,$49.19 
1/17/2019,$48.47 
1/16/2019,$48.13 
1/15/2019,$48.60 
1/14/2019,$48.35 
