Date, Close/Last
1/13/2020,$251.98 
1/10/2020,$244.32 
1/9/2020,$243.02 
1/8/2020,$240.38 
1/7/2020,$239.93 
1/6/2020,$237.06 
1/3/2020,$236.07 
1/2/2020,$239.91 
12/31/2019,$235.30 
12/30/2019,$232.32 
12/27/2019,$236.87 
12/26/2019,$239.19 
12/24/2019,$238.62 
12/23/2019,$238.82 
12/20/2019,$239.37 
12/19/2019,$235.46 
12/18/2019,$229.51 
12/17/2019,$228.29 
12/16/2019,$225.15 
12/13/2019,$223.99 
12/12/2019,$224.07 
12/11/2019,$217.34 
12/10/2019,$213.98 
12/9/2019,$212.17 
12/6/2019,$212.17 
12/5/2019,$208.74 
12/4/2019,$209.42 
12/3/2019,$207.66 
12/2/2019,$209.25 
11/29/2019,$216.74 
11/27/2019,$218.24 
11/26/2019,$217 
11/25/2019,$221.21 
11/22/2019,$210.89 
11/21/2019,$210.18 
11/20/2019,$211.18 
11/19/2019,$207.99 
11/18/2019,$212.28 
11/15/2019,$204.19 
11/14/2019,$209.79 
11/13/2019,$208.57 
11/12/2019,$209.61 
11/11/2019,$208.18 
11/8/2019,$207.78 
11/7/2019,$208.34 
11/6/2019,$207.63 
11/5/2019,$209.61 
11/4/2019,$210.50 
11/1/2019,$202.59 
10/31/2019,$201.02 
10/30/2019,$203 
10/29/2019,$202.92 
10/28/2019,$206.79 
10/25/2019,$204.54 
10/24/2019,$196.86 
10/23/2019,$195.09 
10/22/2019,$195.61 
10/21/2019,$196.01 
10/18/2019,$190.49 
10/17/2019,$194.29 
10/16/2019,$194.21 
10/15/2019,$196.37 
10/14/2019,$186.53 
10/11/2019,$185.99 
10/10/2019,$183.03 
10/9/2019,$180.71 
10/8/2019,$177.23 
10/7/2019,$184.33 
10/4/2019,$181.97 
10/3/2019,$181.31 
10/2/2019,$173.04 
10/1/2019,$174 
9/30/2019,$174.07 
9/27/2019,$171.76 
9/26/2019,$177.34 
9/25/2019,$178.23 
9/24/2019,$172.53 
9/23/2019,$174.84 
9/20/2019,$172.69 
9/19/2019,$176.94 
9/18/2019,$179.98 
9/17/2019,$181.07 
9/16/2019,$180.21 
9/13/2019,$181.94 
9/12/2019,$184.27 
9/11/2019,$184.33 
9/10/2019,$183.18 
9/9/2019,$180.50 
9/6/2019,$178.65 
9/5/2019,$179.74 
9/4/2019,$168.76 
9/3/2019,$164.17 
8/30/2019,$167.51 
8/29/2019,$167 
8/28/2019,$161.22 
8/27/2019,$161.80 
8/26/2019,$165.45 
8/23/2019,$162.44 
8/22/2019,$171.48 
8/21/2019,$171.23 
8/20/2019,$167.87 
8/19/2019,$170.78 
8/16/2019,$159.56 
8/15/2019,$148.77 
8/14/2019,$150.07 
8/13/2019,$156.05 
8/12/2019,$151.45 
8/9/2019,$154.18 
8/8/2019,$158.26 
8/7/2019,$153.89 
8/6/2019,$152.35 
8/5/2019,$150.79 
8/2/2019,$161.19 
8/1/2019,$164.92 
7/31/2019,$168.72 
7/30/2019,$175.45 
7/29/2019,$174.82 
7/26/2019,$175.07 
7/25/2019,$173.38 
7/24/2019,$178.66 
7/23/2019,$175.66 
7/22/2019,$171.32 
7/19/2019,$168.44 
7/18/2019,$170.18 
7/17/2019,$169.71 
7/16/2019,$167.08 
7/15/2019,$167.27 
7/12/2019,$167.61 
7/11/2019,$166.28 
7/10/2019,$160.06 
7/9/2019,$157.31 
7/8/2019,$157.21 
7/5/2019,$160.23 
7/3/2019,$162.75 
7/2/2019,$162.23 
7/1/2019,$166.17 
6/28/2019,$164.23 
6/27/2019,$163.23 
6/26/2019,$159.26 
6/25/2019,$151.48 
6/24/2019,$152.66 
6/21/2019,$151.76 
6/20/2019,$154.10 
6/19/2019,$153.12 
6/18/2019,$152.88 
